Vernier Format 2
Base-Inter-30-12.cmbl 11/15/2017 15:18:33 .
Latest
Time	Potential
t	Pot
s	V

0	4.00030525031
0.1	3.97283272283
0.2	3.97893772894
0.3	4.01251526252
0.4	3.96672771673
0.5	4.02167277167
0.6	3.98199023199
0.7	3.96978021978
0.8	3.95146520147
0.9	3.96672771673
1	3.96978021978
1.1	4.03693528694
1.2	4.02472527473
1.3	3.94536019536
1.4	4.03998778999
1.5	4.01862026862
1.6	3.97283272283
1.7	4.04304029304
1.8	3.96062271062
1.9	4.01251526252
2	3.98504273504
2.1	3.97893772894
2.2	3.96062271062
2.3	4.01251526252
2.4	4.00030525031
2.5	3.9942002442
2.6	4.01862026862
2.7	4.06746031746
2.8	4.01251526252
2.9	4.09493284493
3	4.06746031746
3.1	4.01556776557
3.2	4.00641025641
3.3	3.9880952381
3.4	4.01556776557
3.5	4.00335775336
3.6	3.99725274725
3.7	3.95757020757
3.8	3.9942002442
3.9	4.0521978022
4	3.97893772894
4.1	3.9362026862
4.2	3.89957264957
4.3	3.95757020757
4.4	3.91178266178
4.5	3.9300976801
4.6	3.88736263736
4.7	3.9300976801
4.8	3.90567765568
4.9	3.85683760684
5	3.90873015873
5.1	3.87820512821
5.2	3.83547008547
5.3	3.82631257631
5.4	3.76831501832
5.5	3.78052503053
5.6	3.77136752137
5.7	3.64926739927
5.8	3.64621489621
5.9	3.68284493284
6	3.76526251526
6.1	3.75
6.2	3.76526251526
6.3	3.77747252747
6.4	3.692002442
6.5	3.60042735043
6.6	3.54548229548
6.7	3.46611721612
6.8	3.46001221001
6.9	3.53327228327
7	3.51495726496
7.1	3.60653235653
7.2	3.64926739927
7.3	3.67063492063
7.4	3.64621489621
7.5	3.54242979243
7.6	3.42643467643
7.7	3.39896214896
7.8	3.28601953602
7.9	3.42948717949
8	3.54548229548
8.1	3.64621489621
8.2	3.72863247863
8.3	3.69810744811
8.4	3.64316239316
8.5	3.49969474969
8.6	3.4416971917
8.7	3.38064713065
8.8	3.47832722833
8.9	3.56684981685
9	3.64316239316
9.1	3.81715506716
9.2	3.82020757021
9.3	3.78663003663
9.4	3.6858974359
9.5	3.61874236874
9.6	3.634004884
9.7	3.56074481074
9.8	3.66147741148
9.9	3.75915750916
10	3.86294261294
10.1	3.88125763126
10.2	3.85989010989
10.3	3.85989010989
10.4	3.807997558
10.5	3.86294261294
10.6	3.86294261294
10.7	3.92399267399
10.8	3.94230769231
10.9	4.00335775336
11	3.96978021978
11.1	4.04304029304
11.2	3.98504273504
11.3	3.9362026862
11.4	4.00030525031
11.5	3.96672771673
11.6	3.99725274725
11.7	4.01251526252
11.8	4.00641025641
11.9	4.03388278388
12	4.02167277167
12.1	4.07051282051
12.2	4.03998778999
12.3	4.01251526252
12.4	3.94841269841
12.5	3.98504273504
12.6	4.04914529915
12.7	4.03083028083
12.8	4.01251526252
12.9	4.03693528694
13	4.03388278388
13.1	4.02167277167
13.2	3.96978021978
13.3	3.99725274725
13.4	3.92704517705
13.5	4.01862026862
13.6	3.93925518926
13.7	3.99114774115
13.8	3.95757020757
13.9	4.02167277167
14	3.96978021978
14.1	3.9942002442
14.2	3.99114774115
14.3	4.02472527473
14.4	3.90567765568
14.5	3.93925518926
14.6	3.94230769231
14.7	3.94841269841
14.8	4.00030525031
14.9	3.97893772894
15	4.01556776557
15.1	3.96672771673
15.2	3.95757020757
15.3	4.00641025641
15.4	3.97588522589
15.5	4.01556776557
15.6	4.00030525031
15.7	4.07661782662
15.8	3.97588522589
15.9	4.07051282051
16	4.01862026862
16.1	4.01556776557
16.2	4.03693528694
16.3	4.04304029304
16.4	4.02167277167
16.5	4.02472527473
16.6	4.08272283272
16.7	4.07661782662
16.8	4.02167277167
16.9	4.05525030525
17	4.06746031746
17.1	4.07356532357
17.2	4.03998778999
17.3	4.03693528694
17.4	3.97283272283
17.5	4.0521978022
17.6	3.9880952381
17.7	4.04304029304
17.8	4.00946275946
17.9	4.03693528694
18	4.09798534799
18.1	3.97283272283
18.2	4.04914529915
18.3	4.02472527473
18.4	4.07967032967
18.5	4.07356532357
18.6	4.07661782662
18.7	3.9942002442
18.8	4.1163003663
18.9	4.02777777778
19	4.10714285714
19.1	4.03998778999
19.2	4.04914529915
19.3	4.04609279609
19.4	4.01556776557
19.5	4.05525030525
19.6	4.10714285714
19.7	4.05525030525
19.8	4.0521978022
19.9	4.02472527473
20	4.02167277167
20.1	4.01556776557
20.2	4.08882783883
20.3	4.05525030525
20.4	4.09493284493
20.5	4.0583028083
20.6	4.03693528694
20.7	4.08272283272
20.8	4.09188034188
20.9	4.03693528694
21	4.09493284493
21.1	4.09798534799
