Vernier Format 2
Base-Inter-40-09.cmbl 11/15/2017 15:17:09 .
Latest
Time	Potential
t	Pot
s	V

0	4.0521978022
0.1	4.04914529915
0.2	4.1163003663
0.3	4.08272283272
0.4	4.06135531136
0.5	4.09188034188
0.6	4.00946275946
0.7	4.11324786325
0.8	4.04609279609
0.9	4.06135531136
1	4.0521978022
1.1	4.1163003663
1.2	4.03693528694
1.3	4.10103785104
1.4	4.0583028083
1.5	4.03083028083
1.6	4.09188034188
1.7	4.05525030525
1.8	4.05525030525
1.9	4.04609279609
2	4.01251526252
2.1	4.04609279609
2.2	4.03693528694
2.3	4.07967032967
2.4	4.10714285714
2.5	4.08577533578
2.6	4.06135531136
2.7	4.03998778999
2.8	4.03083028083
2.9	4.04609279609
3	3.97588522589
3.1	4.10103785104
3.2	4.00641025641
3.3	4.04304029304
3.4	4.03998778999
3.5	4.04914529915
3.6	4.03388278388
3.7	4.04304029304
3.8	4.02777777778
3.9	3.96978021978
4	4.07967032967
4.1	4.03388278388
4.2	4.01862026862
4.3	4.07356532357
4.4	4.02472527473
4.5	4.09188034188
4.6	3.99725274725
4.7	4.04304029304
4.8	4.03388278388
4.9	4.01862026862
5	4.07967032967
5.1	3.9942002442
5.2	4.0521978022
5.3	3.9942002442
5.4	4.04914529915
5.5	3.99725274725
5.6	4.06440781441
5.7	4.00335775336
5.8	4.00946275946
5.9	3.96367521368
6	3.92704517705
6.1	3.96367521368
6.2	4.0583028083
6.3	4.05525030525
6.4	4.00946275946
6.5	4.02167277167
6.6	4.02472527473
6.7	4.01862026862
6.8	3.98199023199
6.9	3.94536019536
7	4.05525030525
7.1	3.98199023199
7.2	4.02167277167
7.3	4.03388278388
7.4	4.04304029304
7.5	4.01556776557
7.6	4.01251526252
7.7	4.03083028083
7.8	4.00335775336
7.9	4.00335775336
8	4.00030525031
8.1	4.02167277167
8.2	4.04304029304
8.3	3.99114774115
8.4	4.06746031746
8.5	4.03388278388
8.6	3.9942002442
8.7	4.07356532357
8.8	3.9880952381
8.9	4.03083028083
9	3.95451770452
9.1	3.99114774115
9.2	4.06135531136
9.3	4.06135531136
9.4	3.93925518926
9.5	3.99114774115
9.6	3.98504273504
9.7	3.90873015873
9.8	3.9362026862
9.9	3.91483516484
10	3.91788766789
10.1	3.89346764347
10.2	3.88431013431
10.3	3.85378510379
10.4	3.88431013431
10.5	3.85378510379
10.6	3.85378510379
10.7	3.8141025641
10.8	3.82631257631
10.9	3.77442002442
11	3.88125763126
11.1	3.78357753358
11.2	3.80189255189
11.3	3.76526251526
11.4	3.83852258852
11.5	3.80189255189
11.6	3.77747252747
11.7	3.79578754579
11.8	3.76221001221
11.9	3.80189255189
12	3.70115995116
12.1	3.75610500611
12.2	3.79884004884
12.3	3.75
12.4	3.77747252747
12.5	3.77136752137
12.6	3.89346764347
12.7	3.807997558
12.8	3.80494505495
12.9	3.81715506716
13	3.79578754579
13.1	3.79578754579
13.2	3.89652014652
13.3	3.88125763126
13.4	3.90567765568
13.5	3.94230769231
13.6	3.96062271062
13.7	3.95451770452
13.8	3.96062271062
13.9	3.9880952381
14	3.99114774115
14.1	3.9880952381
14.2	3.98504273504
14.3	4.00641025641
14.4	3.99114774115
14.5	4.01862026862
14.6	4.02167277167
14.7	3.95451770452
14.8	4.04609279609
14.9	4.07051282051
15	4.02777777778
15.1	3.96367521368
15.2	3.99725274725
15.3	4.03388278388
15.4	4.00335775336
15.5	4.02167277167
15.6	4.00335775336
15.7	4.08882783883
15.8	3.98199023199
15.9	4.02777777778
16	3.97588522589
16.1	4.04914529915
16.2	4.03998778999
16.3	4.03998778999
16.4	3.99725274725
16.5	4.01862026862
16.6	4.07967032967
16.7	4.00946275946
16.8	4.08577533578
16.9	4.09493284493
17	4.01862026862
17.1	4.01251526252
17.2	4.07356532357
17.3	4.0521978022
17.4	4.08577533578
17.5	3.97893772894
17.6	4.03388278388
17.7	4.02777777778
17.8	4.07051282051
17.9	4.03998778999
18	4.03998778999
18.1	4.03693528694
18.2	4.01862026862
18.3	4.03693528694
18.4	4.03388278388
18.5	4.03998778999
18.6	4.02777777778
18.7	4.06440781441
18.8	4.00030525031
18.9	4.00030525031
19	4.01862026862
19.1	4.02777777778
19.2	3.95451770452
19.3	4.07051282051
19.4	3.98504273504
19.5	4.04304029304
19.6	4.00641025641
19.7	4.07967032967
19.8	3.99725274725
19.9	4.03083028083
20	4.1101953602
20.1	4.03083028083
20.2	4.07661782662
20.3	3.98504273504
20.4	3.97283272283
20.5	4.10103785104
20.6	4.01251526252
20.7	4.03998778999
20.8	4.08577533578
20.9	4.03998778999
21	4.10103785104
21.1	4.03693528694
21.2	4.0521978022
21.3	4.02167277167
21.4	3.9942002442
21.5	3.96672771673
21.6	4.0521978022
21.7	4.06135531136
21.8	4.02777777778
21.9	4.00946275946
22	4.01862026862
22.1	4.00030525031
22.2	4.00641025641
22.3	4.00641025641
22.4	4.08882783883
22.5	4.00641025641
22.6	4.02167277167
22.7	3.99114774115
22.8	3.99725274725
22.9	3.99725274725
23	4.07967032967
23.1	4.02167277167
23.2	4.00946275946
23.3	4.06440781441
23.4	4.01556776557
23.5	4.02472527473
23.6	3.9880952381
23.7	3.99114774115
23.8	3.97588522589
23.9	3.98504273504
24	3.91788766789
24.1	4.00030525031
24.2	4.00946275946
24.3	3.98504273504
24.4	3.97588522589
24.5	3.95146520147
24.6	3.95451770452
24.7	4.07356532357
