Vernier Format 2
Base-Inter-55-05.cmbl 11/15/2017 15:12:10 .
Latest
Time	Potential
t	Pot
s	V

0	4.03693528694
0.1	4.04609279609
0.2	3.96672771673
0.3	4.04609279609
0.4	4.03388278388
0.5	4.10409035409
0.6	4.00030525031
0.7	4.04609279609
0.8	4.12545787546
0.9	4.06746031746
1	4.08882783883
1.1	4.01862026862
1.2	4.02167277167
1.3	4.04914529915
1.4	4.07661782662
1.5	4.00335775336
1.6	4.01862026862
1.7	4.07356532357
1.8	4.06440781441
1.9	4.03388278388
2	4.02472527473
2.1	3.99725274725
2.2	3.9942002442
2.3	4.06440781441
2.4	4.07356532357
2.5	3.94230769231
2.6	4.03388278388
2.7	4.04914529915
2.8	4.03998778999
2.9	4.00335775336
3	3.97283272283
3.1	4.03083028083
3.2	4.02777777778
3.3	3.99725274725
3.4	3.97588522589
3.5	3.92094017094
3.6	4.10103785104
3.7	4.06135531136
3.8	4.03693528694
3.9	4.00946275946
4	4.00946275946
4.1	4.00641025641
4.2	3.98504273504
4.3	4.02472527473
4.4	4.02167277167
4.5	4.03388278388
4.6	4.02472527473
4.7	3.98504273504
4.8	4.00641025641
4.9	4.00030525031
5	3.91788766789
5.1	3.9300976801
5.2	3.95451770452
5.3	4.0521978022
5.4	3.97588522589
5.5	3.89652014652
5.6	3.90567765568
5.7	3.8721001221
5.8	3.89957264957
5.9	3.84462759463
6	3.82936507937
6.1	3.90567765568
6.2	3.82936507937
6.3	3.85073260073
6.4	3.84157509158
6.5	3.82631257631
6.6	3.865995116
6.7	3.72252747253
6.8	3.77747252747
6.9	3.74084249084
7	3.74694749695
7.1	3.75610500611
7.2	3.61874236874
7.3	3.69810744811
7.4	3.66452991453
7.5	3.6858974359
7.6	3.65537240537
7.7	3.53021978022
7.8	3.50274725275
7.9	3.50885225885
8	3.54242979243
8.1	3.5699023199
8.2	3.54853479853
8.3	3.42948717949
8.4	3.3898046398
8.5	3.47222222222
8.6	3.40811965812
8.7	3.40201465201
8.8	3.39285714286
8.9	3.36233211233
9	3.35927960928
9.1	3.3195970696
9.2	3.32264957265
9.3	3.29517704518
9.4	3.34096459096
9.5	3.30738705739
9.6	3.32875457875
9.7	3.39285714286
9.8	3.37454212454
9.9	3.31349206349
10	3.30433455433
10.1	3.30128205128
10.2	3.32264957265
10.3	3.36843711844
10.4	3.31654456654
10.5	3.35317460317
10.6	3.40201465201
10.7	3.36843711844
10.8	3.37759462759
10.9	3.38064713065
11	3.49358974359
11.1	3.48137973138
11.2	3.5057997558
11.3	3.49969474969
11.4	3.53327228327
11.5	3.58821733822
11.6	3.59737484737
11.7	3.60042735043
11.8	3.58211233211
11.9	3.60958485958
12	3.64621489621
12.1	3.68894993895
12.2	3.63705738706
12.3	3.72863247863
12.4	3.78663003663
12.5	3.77136752137
12.6	3.79273504274
12.7	3.82020757021
12.8	3.78357753358
12.9	3.85683760684
13	3.86294261294
13.1	3.87820512821
13.2	3.94230769231
13.3	3.84462759463
13.4	3.90567765568
13.5	3.89652014652
13.6	3.89652014652
13.7	3.95451770452
13.8	3.89957264957
13.9	3.99114774115
14	4.00030525031
14.1	3.92094017094
14.2	3.9362026862
14.3	3.96062271062
14.4	3.98199023199
14.5	3.99725274725
14.6	3.9942002442
14.7	3.99114774115
14.8	3.92704517705
14.9	3.98504273504
15	3.9880952381
15.1	3.99725274725
15.2	4.03083028083
15.3	4.03083028083
15.4	3.9880952381
15.5	4.01556776557
15.6	3.98199023199
15.7	3.97588522589
15.8	4.07051282051
15.9	3.98504273504
16	4.00335775336
16.1	3.99725274725
16.2	3.93925518926
16.3	4.03083028083
16.4	3.98504273504
16.5	3.99114774115
16.6	4.00030525031
16.7	3.97893772894
16.8	4.0521978022
16.9	4.00030525031
17	3.99114774115
17.1	3.9942002442
17.2	4.00641025641
17.3	4.02472527473
17.4	3.98504273504
17.5	3.96672771673
17.6	4.01862026862
17.7	4.00335775336
17.8	3.97588522589
17.9	3.96978021978
18	3.99725274725
18.1	4.03693528694
18.2	3.97893772894
18.3	4.01862026862
18.4	3.98199023199
18.5	3.94230769231
18.6	4.02472527473
18.7	3.95451770452
18.8	3.95451770452
18.9	3.99725274725
19	4.03693528694
19.1	4.00030525031
19.2	4.00946275946
19.3	4.04609279609
19.4	3.93925518926
19.5	3.99114774115
19.6	4.01251526252
19.7	3.95146520147
19.8	3.92704517705
19.9	4.01556776557
20	3.97893772894
20.1	4.0521978022
20.2	4.04609279609
20.3	3.9880952381
20.4	4.02472527473
20.5	4.03388278388
20.6	4.01251526252
20.7	4.01556776557
20.8	3.95451770452
20.9	3.91788766789
21	3.95146520147
21.1	4.05525030525
21.2	4.03998778999
21.3	4.03998778999
21.4	3.99725274725
21.5	4.00641025641
21.6	3.99725274725
21.7	3.97283272283
21.8	4.00030525031
21.9	3.99114774115
22	4.01556776557
22.1	4.01862026862
22.2	3.99725274725
22.3	3.97893772894
22.4	3.99725274725
22.5	3.9880952381
22.6	3.97893772894
22.7	4.04304029304
22.8	3.96367521368
22.9	3.97893772894
23	3.97283272283
23.1	3.96367521368
23.2	4.00335775336
23.3	4.02167277167
23.4	3.95146520147
23.5	3.92704517705
23.6	4.02777777778
23.7	3.96672771673
23.8	3.97283272283
23.9	3.96062271062
24	3.98504273504
24.1	3.97893772894
