Vernier Format 2
Base-Inter-40-10.cmbl 11/15/2017 15:17:48 .
Latest
Time	Potential
t	Pot
s	V

0	4.01251526252
0.1	4.0583028083
0.2	4.01862026862
0.3	4.04304029304
0.4	4.10409035409
0.5	4.06746031746
0.6	4.04609279609
0.7	4.00946275946
0.8	4.03083028083
0.9	4.02472527473
1	4.04304029304
1.1	4.02777777778
1.2	4.05525030525
1.3	4.06440781441
1.4	4.01251526252
1.5	4.01556776557
1.6	4.03388278388
1.7	4.03998778999
1.8	4.01251526252
1.9	4.1163003663
2	4.0583028083
2.1	4.02472527473
2.2	4.03083028083
2.3	4.04304029304
2.4	4.01862026862
2.5	3.99114774115
2.6	4.05525030525
2.7	4.07051282051
2.8	4.07051282051
2.9	3.97893772894
3	3.97588522589
3.1	3.99114774115
3.2	4.02472527473
3.3	4.1101953602
3.4	4.02167277167
3.5	4.02167277167
3.6	4.08577533578
3.7	3.97588522589
3.8	4.03693528694
3.9	4.03388278388
4	4.03388278388
4.1	3.9942002442
4.2	4.03693528694
4.3	4.00335775336
4.4	4.00335775336
4.5	4.00030525031
4.6	3.97893772894
4.7	4.04304029304
4.8	3.99725274725
4.9	4.04914529915
5	3.99725274725
5.1	4.03998778999
5.2	3.96672771673
5.3	4.0521978022
5.4	3.98504273504
5.5	4.01251526252
5.6	4.00946275946
5.7	4.04914529915
5.8	3.93925518926
5.9	4.01251526252
6	4.10714285714
6.1	4.03388278388
6.2	4.07967032967
6.3	4.03998778999
6.4	4.06135531136
6.5	4.08272283272
6.6	4.04304029304
6.7	4.04914529915
6.8	4.08882783883
6.9	4.02472527473
7	4.01556776557
7.1	4.05525030525
7.2	4.02167277167
7.3	3.93925518926
7.4	4.0521978022
7.5	4.02777777778
7.6	3.95451770452
7.7	3.96367521368
7.8	3.91178266178
7.9	3.97893772894
8	4.00946275946
8.1	4.00641025641
8.2	3.96672771673
8.3	3.95757020757
8.4	3.97588522589
8.5	3.91788766789
8.6	3.90873015873
8.7	3.90873015873
8.8	3.89041514042
8.9	3.92399267399
9	3.81715506716
9.1	3.89346764347
9.2	3.80494505495
9.3	3.78357753358
9.4	3.84462759463
9.5	3.74389499389
9.6	3.80494505495
9.7	3.80189255189
9.8	3.85683760684
9.9	3.82936507937
10	3.80494505495
10.1	3.71336996337
10.2	3.75305250305
10.3	3.74389499389
10.4	3.83547008547
10.5	3.79884004884
10.6	3.81105006105
10.7	3.80189255189
10.8	3.81105006105
10.9	3.865995116
11	3.80494505495
11.1	3.82326007326
11.2	3.79273504274
11.3	3.8141025641
11.4	3.84462759463
11.5	3.85378510379
11.6	3.90567765568
11.7	3.86294261294
11.8	3.91788766789
11.9	3.91483516484
12	3.86904761905
12.1	3.9300976801
12.2	3.92399267399
12.3	3.99114774115
12.4	3.95146520147
12.5	3.9880952381
12.6	4.01251526252
12.7	3.92399267399
12.8	4.00641025641
12.9	3.9942002442
13	4.00946275946
13.1	4.0583028083
13.2	4.03693528694
13.3	4.02167277167
13.4	4.01556776557
13.5	4.03083028083
13.6	4.00641025641
13.7	4.04914529915
13.8	4.00946275946
13.9	4.02777777778
14	4.00641025641
14.1	4.08882783883
14.2	4.02472527473
14.3	3.99725274725
14.4	4.04304029304
14.5	4.00946275946
14.6	4.01862026862
14.7	3.94230769231
14.8	4.03998778999
14.9	3.9880952381
15	3.95451770452
15.1	4.02777777778
15.2	4.03998778999
15.3	4.01556776557
15.4	3.95757020757
15.5	4.00946275946
15.6	4.01556776557
15.7	4.04304029304
15.8	4.00641025641
15.9	3.97283272283
16	4.01862026862
16.1	3.96672771673
16.2	4.02167277167
16.3	3.9880952381
16.4	3.94230769231
16.5	4.0521978022
16.6	3.97588522589
16.7	4.01862026862
16.8	4.00030525031
16.9	3.97283272283
17	4.00335775336
17.1	4.03388278388
17.2	4.01556776557
17.3	4.06135531136
17.4	3.97893772894
17.5	4.06746031746
17.6	4.07967032967
17.7	3.98504273504
17.8	4.01862026862
17.9	4.03083028083
18	4.02472527473
18.1	4.00335775336
18.2	4.0583028083
18.3	4.04914529915
18.4	4.07661782662
18.5	4.03998778999
18.6	4.07661782662
18.7	4.06440781441
18.8	4.04914529915
18.9	4.03998778999
19	4.06746031746
19.1	4.04609279609
19.2	4.04609279609
19.3	4.10714285714
19.4	4.03693528694
19.5	4.06440781441
19.6	4.08272283272
19.7	4.08272283272
19.8	4.0521978022
19.9	4.06135531136
20	3.99725274725
20.1	4.08577533578
20.2	4.07967032967
20.3	4.03998778999
20.4	4.07051282051
20.5	4.03998778999
20.6	4.06746031746
20.7	4.07356532357
20.8	4.07356532357
20.9	4.01556776557
21	4.04609279609
21.1	4.06746031746
21.2	4.07967032967
21.3	4.0583028083
21.4	4.10714285714
21.5	4.05525030525
21.6	4.01251526252
21.7	4.03388278388
21.8	4.04914529915
