Vernier Format 2
Base-Inter-40-15.cmbl 11/15/2017 15:20:02 .
Latest
Time	Potential
t	Pot
s	V

0	4.03998778999
0.1	4.00335775336
0.2	4.03693528694
0.3	4.00335775336
0.4	4.04304029304
0.5	4.08272283272
0.6	4.02167277167
0.7	4.10714285714
0.8	4.00946275946
0.9	4.07356532357
1	4.02777777778
1.1	3.99725274725
1.2	4.03998778999
1.3	4.04304029304
1.4	4.02472527473
1.5	4.0521978022
1.6	4.03388278388
1.7	4.01862026862
1.8	4.01556776557
1.9	3.98199023199
2	4.03388278388
2.1	4.03388278388
2.2	4.03388278388
2.3	3.97893772894
2.4	4.04304029304
2.5	4.02167277167
2.6	4.02777777778
2.7	4.00335775336
2.8	3.99725274725
2.9	4.03388278388
3	4.10103785104
3.1	4.03388278388
3.2	4.00946275946
3.3	4.01556776557
3.4	4.04609279609
3.5	4.08882783883
3.6	3.98199023199
3.7	4.05525030525
3.8	4.01862026862
3.9	4.03083028083
4	4.07661782662
4.1	4.06440781441
4.2	3.97893772894
4.3	4.00946275946
4.4	4.01251526252
4.5	4.00335775336
4.6	4.01556776557
4.7	4.00335775336
4.8	4.00946275946
4.9	4.08272283272
5	4.03693528694
5.1	4.07967032967
5.2	4.03693528694
5.3	4.02167277167
5.4	4.00946275946
5.5	4.00030525031
5.6	3.96672771673
5.7	4.07356532357
5.8	3.9880952381
5.9	4.01862026862
6	4.04609279609
6.1	4.02167277167
6.2	3.97588522589
6.3	3.94536019536
6.4	3.96978021978
6.5	4.02167277167
6.6	3.91178266178
6.7	3.96672771673
6.8	3.97893772894
6.9	3.92704517705
7	3.95451770452
7.1	3.98504273504
7.2	4.00946275946
7.3	4.01556776557
7.4	4.01251526252
7.5	4.01556776557
7.6	3.95146520147
7.7	3.89346764347
7.8	3.95757020757
7.9	4.00335775336
8	3.97893772894
8.1	4.02472527473
8.2	4.02777777778
8.3	4.00030525031
8.4	4.03083028083
8.5	3.96062271062
8.6	3.95757020757
8.7	4.04914529915
8.8	3.97893772894
8.9	4.0583028083
9	4.02777777778
9.1	4.03083028083
9.2	3.9880952381
9.3	4.01556776557
9.4	3.97893772894
9.5	3.9880952381
9.6	4.03693528694
9.7	4.00335775336
9.8	4.07356532357
9.9	4.00335775336
10	4.02472527473
10.1	3.96062271062
10.2	3.96367521368
10.3	3.9942002442
10.4	3.90567765568
10.5	3.94536019536
10.6	3.91788766789
10.7	3.82326007326
10.8	3.90567765568
10.9	3.89346764347
11	3.88431013431
11.1	3.90262515263
11.2	3.82936507937
11.3	3.85073260073
11.4	3.82326007326
11.5	3.72252747253
11.6	3.66758241758
11.7	3.66452991453
11.8	3.64926739927
11.9	3.67063492063
12	3.66147741148
12.1	3.72252747253
12.2	3.70115995116
12.3	3.53021978022
12.4	3.48748473748
12.5	3.48748473748
12.6	3.47527472527
12.7	3.52411477411
12.8	3.61263736264
12.9	3.59737484737
13	3.52411477411
13.1	3.43864468864
13.2	3.39896214896
13.3	3.40201465201
13.4	3.35622710623
13.5	3.43864468864
13.6	3.49358974359
13.7	3.4416971917
13.8	3.42643467643
13.9	3.45695970696
14	3.34401709402
14.1	3.35012210012
14.2	3.35622710623
14.3	3.3898046398
14.4	3.50274725275
14.5	3.53021978022
14.6	3.39590964591
14.7	3.43864468864
14.8	3.37454212454
14.9	3.35317460317
15	3.38675213675
15.1	3.52411477411
15.2	3.59737484737
15.3	3.55769230769
15.4	3.46306471306
15.5	3.56074481074
15.6	3.58516483516
15.7	3.48443223443
15.8	3.56074481074
15.9	3.54853479853
16	3.63705738706
16.1	3.70421245421
16.2	3.65537240537
16.3	3.62484737485
16.4	3.6858974359
16.5	3.692002442
16.6	3.76526251526
16.7	3.73473748474
16.8	3.77747252747
16.9	3.81715506716
17	3.84462759463
17.1	3.79578754579
17.2	3.89346764347
17.3	3.91178266178
17.4	3.91178266178
17.5	3.8141025641
17.6	3.94841269841
17.7	3.91483516484
17.8	3.89652014652
17.9	3.84462759463
18	3.89041514042
18.1	3.85989010989
18.2	3.86904761905
18.3	3.8721001221
18.4	3.93315018315
18.5	3.97588522589
18.6	3.91788766789
18.7	3.98504273504
18.8	3.90567765568
18.9	3.93925518926
19	3.97893772894
19.1	3.89041514042
19.2	3.95757020757
19.3	3.89041514042
19.4	3.94230769231
19.5	3.96978021978
19.6	3.9362026862
19.7	3.95451770452
19.8	3.93315018315
19.9	3.95757020757
20	3.95146520147
20.1	3.99725274725
20.2	3.95451770452
20.3	3.90873015873
20.4	3.9942002442
20.5	3.88431013431
20.6	3.92094017094
20.7	3.92399267399
20.8	3.96062271062
20.9	3.94841269841
21	3.85989010989
21.1	3.9300976801
21.2	3.89957264957
21.3	3.9362026862
21.4	3.92399267399
21.5	3.95451770452
21.6	3.97893772894
21.7	3.90262515263
21.8	3.92094017094
21.9	3.91788766789
22	4.03083028083
22.1	3.96672771673
22.2	3.96062271062
22.3	3.90262515263
22.4	3.95451770452
22.5	3.93315018315
22.6	4.01251526252
22.7	3.98199023199
22.8	3.98504273504
22.9	3.94536019536
23	3.9362026862
23.1	3.97588522589
23.2	3.91483516484
23.3	3.93925518926
23.4	3.94230769231
23.5	3.92704517705
23.6	3.93315018315
23.7	3.99114774115
23.8	3.89957264957
23.9	3.95451770452
24	3.92704517705
24.1	3.91483516484
24.2	3.91788766789
24.3	3.91788766789
24.4	3.91788766789
24.5	3.89041514042
