Latest: Time (s)	Latest: Potential (V)
0	3.978937729
0.1	3.966727717
0.2	3.963675214
0.3	4.036935287
0.4	3.945360195
0.5	3.920940171
0.6	3.948412698
0.7	3.997252747
0.8	3.914835165
0.9	4.00030525
1	3.988095238
1.1	3.911782662
1.2	3.945360195
1.3	4.009462759
1.4	3.920940171
1.5	3.960622711
1.6	3.96978022
1.7	4.027777778
1.8	3.975885226
1.9	3.954517705
2	3.981990232
2.1	3.936202686
2.2	3.960622711
2.3	3.978937729
2.4	4.015567766
2.5	3.948412698
2.6	3.945360195
2.7	3.945360195
2.8	3.942307692
2.9	3.920940171
3	3.978937729
3.1	3.997252747
3.2	4.00030525
3.3	4.00030525
3.4	3.963675214
3.5	4.015567766
3.6	4.012515263
3.7	3.991147741
3.8	3.954517705
3.9	3.997252747
4	4.043040293
4.1	3.972832723
4.2	3.985042735
4.3	3.975885226
4.4	3.936202686
4.5	3.972832723
4.6	3.972832723
4.7	3.957570208
4.8	3.954517705
4.9	3.963675214
5	3.972832723
5.1	3.966727717
5.2	3.963675214
5.3	3.96978022
5.4	3.991147741
5.5	3.948412698
5.6	3.960622711
5.7	3.966727717
5.8	3.933150183
5.9	3.945360195
6	3.994200244
6.1	3.991147741
6.2	3.954517705
6.3	3.991147741
6.4	4.003357753
6.5	3.948412698
6.6	3.957570208
6.7	3.988095238
6.8	3.917887668
6.9	3.96978022
7	3.908730159
7.1	3.985042735
7.2	3.960622711
7.3	3.978937729
7.4	3.991147741
7.5	3.911782662
7.6	3.981990232
7.7	3.954517705
7.8	3.981990232
7.9	3.954517705
8	3.942307692
8.1	3.954517705
8.2	4.003357753
8.3	3.960622711
8.4	3.960622711
8.5	3.972832723
8.6	3.994200244
8.7	3.991147741
8.8	3.963675214
8.9	3.972832723
9	3.911782662
9.1	4.015567766
9.2	3.988095238
9.3	3.945360195
9.4	3.972832723
9.5	3.957570208
9.6	3.978937729
9.7	4.030830281
9.8	3.927045177
9.9	3.975885226
10	3.954517705
10.1	3.908730159
10.2	3.954517705
10.3	3.96978022
10.4	3.985042735
10.5	3.917887668
10.6	3.966727717
10.7	3.920940171
10.8	3.981990232
10.9	3.954517705
11	3.985042735
11.1	3.985042735
11.2	3.966727717
11.3	3.948412698
11.4	4.033882784
11.5	3.975885226
11.6	3.991147741
11.7	3.991147741
11.8	3.985042735
11.9	3.985042735
12	4.030830281
12.1	3.997252747
12.2	3.997252747
12.3	3.997252747
12.4	3.985042735
12.5	3.96978022
12.6	3.997252747
12.7	3.991147741
12.8	3.936202686
12.9	3.942307692
13	3.991147741
13.1	3.997252747
13.2	3.972832723
13.3	3.96978022
13.4	3.942307692
13.5	3.942307692
13.6	4.03998779
13.7	3.985042735
13.8	3.960622711
13.9	3.981990232
14	4.00030525
14.1	3.991147741
14.2	3.972832723
14.3	3.96978022
14.4	3.936202686
14.5	4.00030525
14.6	4.024725275
14.7	3.942307692
14.8	3.985042735
14.9	3.960622711
15	3.954517705
15.1	3.960622711
15.2	3.985042735
15.3	3.933150183
15.4	3.948412698
15.5	3.945360195
15.6	3.923992674
15.7	3.966727717
15.8	3.957570208
15.9	3.954517705
16	3.89041514
16.1	3.942307692
16.2	3.923992674
16.3	3.93009768
16.4	3.93009768
16.5	3.893467643
16.6	3.905677656
16.7	3.850732601
16.8	3.920940171
16.9	3.850732601
17	3.945360195
17.1	3.905677656
17.2	3.902625153
17.3	3.881257631
17.4	3.917887668
17.5	3.844627595
17.6	3.841575092
17.7	3.872100122
17.8	3.893467643
17.9	3.872100122
18	3.85989011
18.1	3.835470085
18.2	3.865995116
18.3	3.786630037
18.4	3.774420024
18.5	3.823260073
18.6	3.844627595
18.7	3.826312576
18.8	3.792735043
18.9	3.777472527
19	3.753052503
19.1	3.725579976
19.2	3.756105006
19.3	3.661477411
19.4	3.762210012
19.5	3.746947497
19.6	3.71031746
19.7	3.756105006
19.8	3.634004884
19.9	3.655372405
20	3.722527473
20.1	3.634004884
20.2	3.71031746
20.3	3.664529915
20.4	3.624847375
20.5	3.621794872
20.6	3.548534799
20.7	3.481379731
20.8	3.521062271
20.9	3.493589744
21	3.588217338
21.1	3.548534799
21.2	3.563797314
21.3	3.463064713
21.4	3.408119658
21.5	3.453907204
21.6	3.453907204
21.7	3.46001221
21.8	3.31959707
21.9	3.322649573
22	3.295177045
22.1	3.31959707
22.2	3.313492063
22.3	3.356227106
22.4	3.282967033
22.5	3.298229548
22.6	3.234126984
22.7	3.197496948
22.8	3.249389499
22.9	3.218864469
23	3.237179487
23.1	3.243284493
23.2	3.145604396
23.3	2.980769231
23.4	3.038766789
23.5	3.032661783
23.6	3.090659341
23.7	3.115079365
23.8	3.041819292
23.9	3.096764347
24	3.008241758
24.1	2.992979243
24.2	2.962454212
24.3	3.002136752
24.4	3.044871795
24.5	2.986874237
24.6	2.901404151
24.7	2.815934066
24.8	2.947191697
24.9	2.977716728
25	2.977716728
25.1	3.011294261
25.2	2.947191697
25.3	2.904456654
25.4	2.760989011
25.5	2.812881563
25.6	2.913614164
25.7	3.032661783
25.8	3.054029304
25.9	2.907509158
26	2.852564103
26.1	2.80982906
26.2	2.815934066
26.3	2.98992674
26.4	3.02045177
26.5	3.057081807
26.6	2.910561661
26.7	2.904456654
26.8	2.873931624
26.9	2.941086691
27	2.968559219
27.1	3.200549451
27.2	3.087606838
27.3	3.02045177
27.4	2.925824176
27.5	2.928876679
27.6	3.054029304
27.7	3.017399267
27.8	3.194444444
27.9	3.182234432
28	3.115079365
28.1	3.075396825
28.2	3.087606838
28.3	3.13949939
28.4	3.307387057
28.5	3.267704518
28.6	3.228021978
28.7	3.197496948
28.8	3.142551893
28.9	3.182234432
29	3.264652015
29.1	3.353174603
29.2	3.353174603
29.3	3.368437118
29.4	3.38980464
29.5	3.377594628
29.6	3.334859585
29.7	3.518009768
29.8	3.511904762
29.9	3.521062271
30	3.539377289
30.1	3.557692308
30.2	3.579059829
30.3	3.49969475
30.4	3.563797314
30.5	3.624847375
30.6	3.731684982
30.7	3.627899878
30.8	3.64010989
30.9	3.585164835
31	3.786630037
31.1	3.777472527
31.2	3.777472527
31.3	3.811050061
31.4	3.807997558
31.5	3.838522589
31.6	3.817155067
31.7	3.835470085
31.8	3.853785104
31.9	3.817155067
32	3.829365079
32.1	3.817155067
32.2	3.82020757
32.3	3.893467643
32.4	3.905677656
32.5	3.954517705
32.6	3.920940171
32.7	3.89041514
32.8	3.93009768
32.9	3.936202686
33	3.936202686
33.1	3.948412698
33.2	3.951465201
33.3	3.933150183
33.4	3.966727717
33.5	4.003357753
33.6	3.896520147
33.7	3.985042735
33.8	3.93009768
33.9	3.978937729
34	3.923992674
34.1	3.960622711
34.2	3.957570208
34.3	3.957570208
34.4	3.933150183
34.5	3.93009768
34.6	3.975885226
34.7	3.963675214
34.8	4.012515263
34.9	3.927045177
35	3.991147741
35.1	3.905677656
35.2	3.951465201
35.3	3.963675214
35.4	3.957570208
35.5	3.978937729
35.6	3.975885226
35.7	3.985042735
35.8	3.951465201
35.9	3.942307692
36	3.957570208
36.1	3.957570208
36.2	3.96978022
36.3	3.936202686
36.4	3.945360195
36.5	3.942307692
36.6	4.009462759
36.7	3.966727717
36.8	3.93009768
36.9	3.972832723
37	4.027777778
37.1	3.975885226
37.2	3.89041514
37.3	3.966727717
37.4	3.954517705
37.5	3.981990232
37.6	3.994200244
37.7	3.89041514
37.8	3.957570208
37.9	3.927045177
38	3.975885226
38.1	3.936202686
38.2	3.951465201
38.3	3.985042735
38.4	3.963675214
38.5	3.945360195
38.6	3.914835165
38.7	3.887362637
38.8	3.917887668
38.9	3.997252747
39	3.991147741
39.1	4.003357753
39.2	3.945360195
39.3	4.018620269
39.4	3.908730159
39.5	3.942307692
39.6	3.972832723
39.7	4.012515263
39.8	3.939255189
39.9	3.939255189
40	3.93009768
40.1	3.923992674
40.2	3.994200244
40.3	3.927045177
40.4	3.972832723
40.5	4.009462759
40.6	3.951465201
40.7	3.960622711
40.8	4.03998779
40.9	3.966727717
41	3.942307692
41.1	3.985042735
41.2	3.972832723
41.3	3.994200244
41.4	3.966727717
41.5	3.914835165
41.6	3.975885226
41.7	3.960622711
41.8	3.991147741
41.9	3.960622711
42	4.003357753
42.1	3.923992674
42.2	3.945360195
42.3	3.960622711
42.4	3.960622711
42.5	3.997252747
42.6	4.003357753
42.7	3.966727717
42.8	3.994200244
42.9	3.939255189
43	3.942307692
43.1	3.951465201
43.2	3.905677656
43.3	3.985042735
43.4	3.951465201
43.5	4.036935287
43.6	3.933150183
43.7	3.927045177
43.8	3.994200244
43.9	3.945360195
44	3.914835165
44.1	3.933150183
44.2	3.911782662
44.3	4.003357753
44.4	3.954517705
44.5	3.985042735
44.6	3.963675214
44.7	3.997252747
44.8	3.972832723
44.9	3.997252747
