Vernier Format 2
Base-Inter-40-14.cmbl 11/15/2017 15:19:14 .
Latest
Time	Potential
t	Pot
s	V

0	3.99114774115
0.1	3.93315018315
0.2	4.01251526252
0.3	3.99114774115
0.4	3.98504273504
0.5	3.93925518926
0.6	3.94841269841
0.7	3.99725274725
0.8	3.9300976801
0.9	3.98504273504
1	3.98199023199
1.1	3.95451770452
1.2	3.9880952381
1.3	3.94230769231
1.4	3.96062271062
1.5	3.9880952381
1.6	4.01862026862
1.7	3.95451770452
1.8	4.00946275946
1.9	4.0521978022
2	3.97893772894
2.1	3.97893772894
2.2	3.94536019536
2.3	4.00030525031
2.4	4.03998778999
2.5	3.99114774115
2.6	3.97893772894
2.7	3.99114774115
2.8	3.9880952381
2.9	3.86294261294
3	4.00641025641
3.1	3.95146520147
3.2	3.90873015873
3.3	4.00030525031
3.4	3.91178266178
3.5	3.93925518926
3.6	3.91788766789
3.7	3.90567765568
3.8	3.85073260073
3.9	3.807997558
4	3.86904761905
4.1	3.84462759463
4.2	3.78052503053
4.3	3.76526251526
4.4	3.72252747253
4.5	3.75305250305
4.6	3.70421245421
4.7	3.77747252747
4.8	3.68894993895
4.9	3.72863247863
5	3.75305250305
5.1	3.76831501832
5.2	3.63705738706
5.3	3.71031746032
5.4	3.64316239316
5.5	3.61263736264
5.6	3.5637973138
5.7	3.67673992674
5.8	3.64621489621
5.9	3.5699023199
6	3.57295482295
6.1	3.54242979243
6.2	3.5119047619
6.3	3.46611721612
6.4	3.48443223443
6.5	3.47527472527
6.6	3.55463980464
6.7	3.53021978022
6.8	3.52106227106
6.9	3.46306471306
7	3.36843711844
7.1	3.43253968254
7.2	3.56684981685
7.3	3.56074481074
7.4	3.65537240537
7.5	3.49969474969
7.6	3.43559218559
7.7	3.4416971917
7.8	3.3836996337
7.9	3.47832722833
8	3.6278998779
8.1	3.6278998779
8.2	3.58516483516
8.3	3.55158730159
8.4	3.53632478632
8.5	3.53327228327
8.6	3.60653235653
8.7	3.59432234432
8.8	3.70115995116
8.9	3.73168498168
9	3.81715506716
9.1	3.76831501832
9.2	3.74389499389
9.3	3.73168498168
9.4	3.73168498168
9.5	3.807997558
9.6	3.88125763126
9.7	3.95146520147
9.8	3.83241758242
9.9	3.79884004884
10	3.84768009768
10.1	3.85683760684
10.2	3.91483516484
10.3	4.00946275946
10.4	3.95451770452
10.5	3.97588522589
10.6	3.89957264957
10.7	3.95451770452
10.8	4.00641025641
10.9	3.95451770452
11	4.00641025641
11.1	3.98199023199
11.2	4.04304029304
11.3	3.97588522589
11.4	4.04914529915
11.5	4.0521978022
11.6	4.03388278388
11.7	4.03693528694
11.8	3.9942002442
11.9	4.08577533578
12	4.00946275946
12.1	3.99114774115
12.2	4.03083028083
12.3	3.96978021978
12.4	3.96978021978
12.5	3.98199023199
12.6	4.01251526252
12.7	3.98504273504
12.8	3.9880952381
12.9	3.93315018315
13	3.94536019536
13.1	3.91483516484
13.2	4.00641025641
13.3	3.98504273504
13.4	3.9880952381
13.5	3.95757020757
13.6	3.94230769231
13.7	3.90873015873
13.8	3.91788766789
13.9	3.94536019536
14	4.03693528694
14.1	3.93925518926
14.2	3.92094017094
14.3	3.96978021978
14.4	3.97283272283
14.5	3.94841269841
14.6	3.96672771673
14.7	4.00335775336
14.8	3.9942002442
14.9	3.9880952381
15	4.02472527473
15.1	3.96978021978
15.2	3.97893772894
15.3	3.99114774115
15.4	3.99114774115
15.5	4.00030525031
15.6	3.99725274725
15.7	4.03388278388
15.8	4.04914529915
15.9	4.02777777778
16	3.92704517705
16.1	4.02167277167
16.2	4.00946275946
16.3	4.03998778999
16.4	3.9880952381
16.5	4.06135531136
16.6	4.02777777778
16.7	3.97893772894
16.8	4.07356532357
16.9	4.04304029304
17	4.06440781441
17.1	4.01251526252
17.2	4.07051282051
17.3	4.01251526252
17.4	3.99114774115
17.5	4.01251526252
17.6	4.02472527473
17.7	4.03388278388
17.8	4.06440781441
17.9	4.00030525031
18	4.06135531136
18.1	4.04304029304
18.2	4.07661782662
18.3	4.04304029304
18.4	4.03388278388
18.5	3.99725274725
18.6	4.02472527473
18.7	4.09188034188
18.8	3.97588522589
18.9	4.07356532357
19	4.0521978022
