Vernier Format 2
Base-Single-70-00.cmbl 11/15/2017 15:05:55 .
Latest
Time	Potential
t	Pot
s	V

0	4.58333333333
0.1	4.55280830281
0.2	4.55891330891
0.3	4.55586080586
0.4	4.60164835165
0.5	4.53449328449
0.6	4.61996336996
0.7	4.59249084249
0.8	4.62301587302
0.9	4.55891330891
1	4.56807081807
1.1	4.62301587302
1.2	4.58638583639
1.3	4.61996336996
1.4	4.59554334554
1.5	4.63522588523
1.6	4.61080586081
1.7	4.58333333333
1.8	4.6047008547
1.9	4.56501831502
2	4.60164835165
2.1	4.54365079365
2.2	4.58333333333
2.3	4.60164835165
2.4	4.57112332112
2.5	4.60775335775
2.6	4.60164835165
2.7	4.5985958486
2.8	4.56807081807
2.9	4.54365079365
3	4.58638583639
3.1	4.51007326007
3.2	4.55586080586
3.3	4.58333333333
3.4	4.54365079365
3.5	4.50091575092
3.6	4.49786324786
3.7	4.48565323565
3.8	4.47039072039
3.9	4.46733821734
4	4.44902319902
4.1	4.51923076923
4.2	4.45512820513
4.3	4.49786324786
4.4	4.49786324786
4.5	4.46733821734
4.6	4.46428571429
4.7	4.43376068376
4.8	4.39407814408
4.9	4.32997557998
5	4.43681318681
5.1	4.39102564103
5.2	4.38797313797
5.3	4.26282051282
5.4	4.22619047619
5.5	4.1804029304
5.6	4.1742979243
5.7	4.11324786325
5.8	4.01251526252
5.9	3.92704517705
6	3.92399267399
6.1	3.83241758242
6.2	3.78357753358
6.3	3.75305250305
6.4	3.6278998779
6.5	3.6278998779
6.6	3.58821733822
6.7	3.42032967033
6.8	3.30738705739
6.9	3.20970695971
7	3.11507936508
7.1	3.13034188034
7.2	3.04792429792
7.3	2.73962148962
7.4	2.81593406593
7.5	2.56868131868
7.6	2.45879120879
7.7	2.37332112332
7.8	2.17796092796
7.9	2.04975579976
8	1.95512820513
8.1	1.68345543346
8.2	1.51862026862
8.3	1.43315018315
8.4	1.47893772894
8.5	1.24084249084
8.6	1.19810744811
8.7	1.20115995116
8.8	1.24389499389
8.9	1.12179487179
9	1.13095238095
9.1	1.33241758242
9.2	1.32631257631
9.3	1.51862026862
9.4	1.59493284493
9.5	1.68345543346
9.6	1.91239316239
9.7	1.97954822955
9.8	2.01923076923
9.9	2.30616605617
10	2.471001221
10.1	2.54731379731
10.2	2.69078144078
10.3	2.82814407814
10.4	2.89224664225
10.5	3.00518925519
10.6	3.06013431013
10.7	3.27991452991
10.8	3.34401709402
10.9	3.33791208791
11	3.42948717949
11.1	3.57295482295
11.2	3.57600732601
11.3	3.63095238095
11.4	3.80494505495
11.5	3.807997558
11.6	3.89346764347
11.7	4.01251526252
11.8	4.00946275946
11.9	4.07356532357
12	4.18650793651
12.1	4.21703296703
12.2	4.2963980464
12.3	4.26892551893
12.4	4.33608058608
12.5	4.37271062271
12.6	4.40934065934
12.7	4.44597069597
12.8	4.46123321123
12.9	4.43070818071
13	4.46428571429
13.1	4.41544566545
13.2	4.4826007326
13.3	4.50396825397
13.4	4.44291819292
13.5	4.47344322344
13.6	4.49481074481
13.7	4.44902319902
13.8	4.49786324786
13.9	4.56501831502
14	4.55280830281
14.1	4.54365079365
14.2	4.55586080586
14.3	4.5467032967
14.4	4.59554334554
14.5	4.55280830281
14.6	4.55586080586
14.7	4.55891330891
14.8	4.59249084249
14.9	4.58943833944
15	4.56807081807
15.1	4.55891330891
15.2	4.57112332112
15.3	4.5985958486
15.4	4.61996336996
15.5	4.57112332112
15.6	4.6047008547
15.7	4.57417582418
15.8	4.58028083028
15.9	4.6047008547
16	4.5985958486
16.1	4.61080586081
16.2	4.63217338217
16.3	4.57722832723
16.4	4.58638583639
16.5	4.57722832723
16.6	4.61080586081
16.7	4.58028083028
16.8	4.56196581197
16.9	4.60164835165
17	4.57112332112
17.1	4.61080586081
17.2	4.55586080586
17.3	4.58638583639
17.4	4.55280830281
17.5	4.58333333333
17.6	4.58638583639
17.7	4.5985958486
17.8	4.62301587302
17.9	4.54975579976
18	4.59249084249
18.1	4.57722832723
18.2	4.58333333333
18.3	4.56501831502
18.4	4.58943833944
18.5	4.60164835165
18.6	4.6047008547
18.7	4.54975579976
18.8	4.58333333333
18.9	4.6047008547
19	4.61080586081
19.1	4.57722832723
19.2	4.58943833944
19.3	4.62606837607
19.4	4.5985958486
19.5	4.56196581197
19.6	4.6047008547
19.7	4.56196581197
19.8	4.60775335775
19.9	4.5985958486
20	4.57112332112
20.1	4.57417582418
20.2	4.57722832723
20.3	4.58943833944
20.4	4.5985958486
20.5	4.55586080586
20.6	4.63217338217
20.7	4.63827838828
20.8	4.63827838828
20.9	4.60164835165
21	4.56196581197
21.1	4.62301587302
21.2	4.51923076923
21.3	4.63522588523
21.4	4.57417582418
21.5	4.61385836386
