Latest: Time (s)	Latest: Potential (V)
31.6	3.902625153
31.7	3.972832723
31.8	3.954517705
31.9	3.991147741
32	3.905677656
32.1	3.887362637
32.2	3.905677656
32.3	3.933150183
32.4	3.93009768
32.5	3.963675214
32.6	4.027777778
32.7	3.908730159
32.8	3.93009768
32.9	4.018620269
33	3.994200244
33.1	3.991147741
33.2	3.997252747
33.3	3.93009768
33.4	3.991147741
33.5	3.972832723
33.6	3.954517705
33.7	3.991147741
33.8	4.03998779
33.9	3.991147741
34	3.963675214
34.1	3.948412698
34.2	4.00030525
34.3	4.036935287
34.4	3.978937729
34.5	4.024725275
34.6	3.997252747
34.7	4.006410256
34.8	3.991147741
34.9	4.018620269
35	4.027777778
35.1	4.006410256
35.2	3.972832723
35.3	3.963675214
35.4	4.030830281
35.5	4.006410256
35.6	3.988095238
35.7	3.975885226
35.8	4.006410256
35.9	4.033882784
36	3.966727717
36.1	4.015567766
36.2	4.064407814
36.3	3.972832723
36.4	4.070512821
36.5	4.064407814
36.6	3.975885226
36.7	4.018620269
36.8	4.052197802
36.9	3.991147741
37	4.024725275
37.1	4.006410256
37.2	3.972832723
37.3	3.994200244
37.4	4.076617827
37.5	4.043040293
37.6	3.975885226
37.7	3.988095238
37.8	4.018620269
37.9	3.954517705
38	4.003357753
38.1	3.981990232
38.2	4.113247863
38.3	4.024725275
38.4	4.049145299
38.5	3.997252747
38.6	3.966727717
38.7	3.960622711
38.8	4.003357753
38.9	4.03998779
39	3.96978022
39.1	4.052197802
39.2	4.00030525
39.3	4.030830281
39.4	3.972832723
39.5	3.997252747
39.6	4.021672772
39.7	4.009462759
39.8	4.015567766
39.9	3.978937729
40	4.006410256
40.1	4.046092796
40.2	3.985042735
40.3	4.018620269
40.4	3.981990232
40.5	3.975885226
40.6	4.021672772
40.7	4.030830281
40.8	4.006410256
40.9	4.009462759
41	3.991147741
41.1	4.043040293
41.2	3.981990232
41.3	4.070512821
41.4	3.957570208
41.5	4.006410256
41.6	4.027777778
41.7	4.006410256
41.8	3.972832723
41.9	3.963675214
42	3.972832723
42.1	4.064407814
42.2	4.021672772
42.3	3.951465201
42.4	3.991147741
42.5	4.012515263
42.6	3.960622711
42.7	4.049145299
42.8	3.997252747
42.9	4.009462759
43	3.994200244
43.1	3.936202686
43.2	3.978937729
43.3	3.975885226
43.4	4.012515263
43.5	4.003357753
43.6	3.994200244
43.7	4.018620269
